path,url,language,currentStatus,sourceOfUrl,sourceEvidence,inSitemap,inRouteInventory,inAppRoutes,inSeoRegistry,inBlogArticles,exactBlogSlugIfAny,exactProductPageIfAny,relatedExistingBlogPages,relatedExistingProductPages,wasExistingBeforeSeoRegistry,wasCreatedBySeoRegistryWork,isManualInferredCandidate,primaryIntent,intentAlreadyOwnedBy,duplicateRisk,allowedAction,blockedReason,approvedByHuman,notes
/,https://gotoflow.io,en,existing_indexable_product_tool,existing_sitemap_product_tool,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route,yes,no,yes,no,no,,/,,,yes,no,no,unknown,Sitemap indexable route owner needs source confirmation,medium,update_existing_page_only,,false,Present in sitemap but absent from RU inventory CSV.
/ai-carousel-maker,https://gotoflow.io/ai-carousel-maker,en,existing_indexable_product_tool,existing_sitemap_product_tool,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route,yes,no,yes,no,no,,/ai-carousel-maker,,,yes,no,no,unknown,Sitemap indexable route owner needs source confirmation,medium,update_existing_page_only,,false,Present in sitemap but absent from RU inventory CSV.
/ai-content-generator,https://gotoflow.io/ai-content-generator,en,existing_indexable_product_tool,existing_sitemap_product_tool,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route,yes,no,yes,no,no,,/ai-content-generator,,,yes,no,no,unknown,Sitemap indexable route owner needs source confirmation,medium,update_existing_page_only,,false,Present in sitemap but absent from RU inventory CSV.
/ai-instagram-post-generator,https://gotoflow.io/ai-instagram-post-generator,en,existing_indexable_product_tool,existing_sitemap_product_tool,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route,yes,no,yes,no,no,,/ai-instagram-post-generator,,,yes,no,no,unknown,Sitemap indexable route owner needs source confirmation,medium,update_existing_page_only,,false,Present in sitemap but absent from RU inventory CSV.
/blog,https://gotoflow.io/blog,en,existing_indexable_product_tool,existing_sitemap_product_tool,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route,yes,no,yes,no,no,,/blog,,,yes,no,no,unknown,Sitemap indexable route owner needs source confirmation,medium,update_existing_page_only,,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-carousel-content-strategy,https://gotoflow.io/blog/ai-carousel-content-strategy,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-carousel-content-strategy.md,yes,no,no,no,yes,ai-carousel-content-strategy,,,,yes,no,no,AI Carousel Content Strategy: How to Build a Repeatable Workflow,src/content/blog/articles/ai-carousel-content-strategy.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-carousel-generator,https://gotoflow.io/blog/ai-carousel-generator,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-carousel-generator.md,yes,no,no,no,yes,ai-carousel-generator,,,,yes,no,no,The Ultimate AI Carousel Generator: From Text to Design in Seconds,src/content/blog/articles/ai-carousel-generator.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-carousel-maker-vs-manual-design,https://gotoflow.io/blog/ai-carousel-maker-vs-manual-design,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-carousel-maker-vs-manual-design.md,yes,no,no,no,yes,ai-carousel-maker-vs-manual-design,,,,yes,no,no,AI Carousel Maker vs Manual Design: Which Workflow Is Faster?,src/content/blog/articles/ai-carousel-maker-vs-manual-design.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-carousel-workflow,https://gotoflow.io/blog/ai-carousel-workflow,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-carousel-workflow.md,yes,no,no,no,yes,ai-carousel-workflow,,,,yes,no,no,AI Carousel Workflow: From Idea to Ready-to-Publish Slides,src/content/blog/articles/ai-carousel-workflow.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-content-creation,https://gotoflow.io/blog/ai-content-creation,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-content-creation.md,yes,no,no,no,yes,ai-content-creation,,,,yes,no,no,The Ultimate Guide to AI Content Creation for Social Media,src/content/blog/articles/ai-content-creation.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-content-marketing-strategy,https://gotoflow.io/blog/ai-content-marketing-strategy,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-content-marketing-strategy.md,yes,no,no,no,yes,ai-content-marketing-strategy,,,,yes,no,no,How to Build an AI Content Marketing Strategy,src/content/blog/articles/ai-content-marketing-strategy.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-content-writing,https://gotoflow.io/blog/ai-content-writing,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-content-writing.md,yes,no,no,no,yes,ai-content-writing,,,,yes,no,no,AI Content Writing for Social Media: Better Copy and Carousels,src/content/blog/articles/ai-content-writing.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-facebook-post-generator,https://gotoflow.io/blog/ai-facebook-post-generator,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-facebook-post-generator.md,yes,no,no,no,yes,ai-facebook-post-generator,,,,yes,no,no,AI Facebook Post Generator: Write Better Updates in Seconds,src/content/blog/articles/ai-facebook-post-generator.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
