keyword,language,country,timeRange,trend,interestScore,relatedQueries,source,lastChecked,sourceUrl,trendType,change,sourceFile,topicCluster,isRelevant
ai blog post generator,en,US,2026-05-08..2026-06-08,falling,11,,google_trends_manual,2026-06-08,,rising,-20%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,social_content,True
ai blog post generator,en,US,2026-05-08..2026-06-08,falling,11,,google_trends_manual,2026-06-08,,top,-20%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,social_content,True
ai carousel generator,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2021_20260608-2021(1).csv,ai_carousel,True
ai carousel generator,en,US,2026-05-08..2026-06-08,rising,54,,google_trends_manual,2026-06-08,,top,20%,searched_with_top-searches_US_20260508-2018_20260608-2018(1).csv,ai_carousel,True
ai checker,en,US,2026-05-08..2026-06-08,rising,4,,google_trends_manual,2026-06-08,,rising,7%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai checker,en,US,2026-05-08..2026-06-08,rising,4,,google_trends_manual,2026-06-08,,top,7%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content checker,en,US,2026-05-08..2026-06-08,rising,4,,google_trends_manual,2026-06-08,,rising,20%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai content checker,en,US,2026-05-08..2026-06-08,rising,4,,google_trends_manual,2026-06-08,,top,20%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content creation,en,US,2026-05-08..2026-06-08,falling,46,,google_trends_manual,2026-06-08,,rising,-8%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai content creation,en,US,2026-05-08..2026-06-08,falling,46,,google_trends_manual,2026-06-08,,top,-8%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content creation tools,en,US,2026-05-08..2026-06-08,falling,11,,google_trends_manual,2026-06-08,,top,-20%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content creator,en,US,2026-05-08..2026-06-08,rising,42,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai content creator,en,US,2026-05-08..2026-06-08,rising,42,,google_trends_manual,2026-06-08,,top,10%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content detection,en,US,2026-05-08..2026-06-08,falling,24,,google_trends_manual,2026-06-08,,rising,-6%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai content detection,en,US,2026-05-08..2026-06-08,falling,24,,google_trends_manual,2026-06-08,,top,-6%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content detector,en,US,2026-05-08..2026-06-08,falling,10,,google_trends_manual,2026-06-08,,rising,-20%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,False
ai content detector,en,US,2026-05-08..2026-06-08,falling,10,,google_trends_manual,2026-06-08,,top,-20%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,False
ai content generator,en,US,2026-05-08..2026-06-08,falling,28,,google_trends_manual,2026-06-08,,rising,-10%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai content generator,en,US,2026-05-08..2026-06-08,falling,28,,google_trends_manual,2026-06-08,,top,-10%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content marketing,en,US,2026-05-08..2026-06-08,falling,71,,google_trends_manual,2026-06-08,,rising,-6%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai content marketing,en,US,2026-05-08..2026-06-08,falling,71,,google_trends_manual,2026-06-08,,top,-6%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content writer,en,US,2026-05-08..2026-06-08,falling,11,,google_trends_manual,2026-06-08,,top,-30%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai content writing,en,US,2026-05-08..2026-06-08,falling,27,,google_trends_manual,2026-06-08,,rising,-10%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
