keyword,page,clicks,impressions,ctr,position,country,dateRange,source,lastChecked,sourceFile,topicCluster,isRelevant
ai carousel,,0,13,0%,75.23,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
ai carousel creator,,0,7,0%,77.57,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
ai carousel generator,,0,15,0%,83.67,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
ai carousel maker,,1,7,14.29%,76.71,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
ai carousel post maker,,0,1,0%,91.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
ai carousels,,0,3,0%,72.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
ai content generation tools for webflow seo,,0,3,0%,87.67,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
ai content generator,,0,12,0%,78.08,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
ai content generator for social media,,0,13,0%,82.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,social_content,True
ai for instagram,,0,4,0%,54.25,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
