keyword,page,clicks,impressions,ctr,position,indexStatus,country,dateRange,source,lastChecked,sourceFile,dailyValues,topicCluster,isRelevant,isDuplicateFile
ai создание каруселей постов,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 1, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
gotoflow,,,9,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 1, ""2026-06-03"": 4, ""2026-06-04"": 4, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",other,False,False
linkedin ai generated content policy,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 1, ""2026-06-07"": 0}",linkedin_carousel,True,False
где делать посты карусели с ии,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 1, ""2026-06-07"": 0}",ai_carousel,True,False
генератор контента,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 1, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",other,False,False
генерация постов каруселей,,,3,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 1, ""2026-06-02"": 2, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",carousel_general,True,False
генерация постов-каруселей,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 1, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",carousel_general,True,False
ии генератор карусели,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 1, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
ии для постов и каруселей,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 1, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
ии для создания постов каруселей,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 1, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
